campaign,adset,ad_name,spend,impressions,clicks,link_clicks,lpv,atc,purchases,revenue,roas,cpa,ctr,cvr_click2buy
생애 첫 구매 붓기_캠페인,생애 첫 구매_세트,젠제네틱스_붓기부스터_가격 포_구매,32803452,1681032,25194,24157,147949,2972,1158,27544784,0.84,28328,0.0144,0.0479
브랜딩_캠페인,브랜딩_세트,250909_브랜딩_앉아서 기억해,1173330,385547,6518,6259,4246,5,4,338900,0.289,293332,0.0162,0.0006
브랜딩_캠페인,브랜딩_세트,250922_브랜딩_설인아 붓기관리,28546,6436,152,153,99,0,0,0,0.0,,0.0238,0.0
트래픽_캠페인,트래픽_세트,250926_붓기부스터_PA suexsoo_트래픽,1040242,210923,10016,3625,17068,6,2,35000,0.034,520121,0.0172,0.0006
브랜딩_캠페인,브랜딩_세트,251014_브랜딩_설인아 인터뷰1,3902528,825340,29153,28544,96666,5,1,38400,0.01,3902528,0.0346,0.0
브랜딩_캠페인,브랜딩_세트,251014_브랜딩_설인아 인터뷰2,96950,13753,606,438,397,0,0,0,0.0,,0.0318,0.0
붓기부스터_캠페인,붓기부스터_세트,251017_붓기부스터_붓기가 쏙 빠짐,509263,9359,98,90,85,14,5,491690,0.965,101853,0.0096,0.0556
트래픽_캠페인,트래픽_세트,250926_붓기부스터_PA sophi__ay_트래픽 - 사본,10,3,0,0,0,0,0,0,0.0,,0.0,
트래픽_캠페인,트래픽_세트,251229_붓기부스터_PA paniikim_트래픽,5460008,581269,45223,33885,160096,3,2,79400,0.015,2730004,0.0583,0.0001
251128_캠페인,251128_세트,251231_붓기 더이상 미루지 않기,7218384,110517,1360,1281,1899,159,57,5667510,0.785,126638,0.0116,0.0445
251128_캠페인,251128_세트,251231_붓기 쏟아져,562062,8904,58,52,618,4,3,446000,0.794,187354,0.0058,0.0577
붓기파우더_캠페인,붓기파우더_세트,260105_붓기파우더_유산소3시간 체크박스,3371088,133509,1828,1735,9347,73,41,2971734,0.882,82222,0.013,0.0236
붓기부스터_캠페인,붓기부스터_세트,260105_붓기부스터_유산소 5시간 체크박스,16902469,358972,5513,5243,20009,291,145,18557028,1.098,116569,0.0146,0.0277
붓기파우더_캠페인,붓기파우더_세트,260108_이쁜얼굴ai 누적리뷰,2715977,53226,444,425,1006,44,26,2120237,0.781,104461,0.008,0.0612
매거진 구매_캠페인,매거진 구매_세트,260108_매거진 칼륨_유산소vs칼륨 뚱냥이,25245478,709828,12756,12193,43362,719,400,25781903,1.021,63114,0.0172,0.0328
마그네슘_캠페인,운동타겟 생애 첫 구매_세트,260113_운동_냉수마찰 60분,1004810,26035,366,342,856,21,8,597120,0.594,125601,0.0131,0.0234
붓기파우더_캠페인,붓기파우더_세트,260121_붓기파우더_포가루롤링,4069289,99423,1239,1169,3420,94,54,3711934,0.912,75357,0.0118,0.0462
